id_bien;id_commune;no_voie;type_voie;indice_repetition;voie;nombre_piece;surface_carrez;surface_reelle_bati;type_local
8257;38169;2;RUE;;DU CENTRE;2;2.00;45;Appartement
8810;39154;5407;;;RTE DE LA FRASNEE;3;3.00;94;Appartement
2558;11281;28;RUE;;DES REMPARTS;2;4.00;39;Appartement
19436;75117;40;RUE;;LACROIX;3;5.00;49;Appartement
20849;76329;5001;CHE;;DE TOUS VENTS;2;5.00;44;Appartement
16279;75103;23;BD;;SAINT MARTIN;5;6.00;103;Appartement
16908;75108;9;RUE;;DU CHEVALIER DE ST-GEORGE;2;6.00;13;Appartement
2048;08409;3;PL;;DU CHATEAU;3;8.00;72;Appartement
29506;93001;20;RUE;;DE LA COMMUNE DE PARIS;1;8.00;27;Appartement
16630;75106;65;RUE;;DE RENNES;1;9.00;13;Appartement
32399;94080;23;AV;;GABRIEL PERI;1;11.00;14;Appartement
2325;11170;14;RES;;LOUISIANE;4;12.00;58;Maison
7189;34108;1;RUE;;DU BARNIER;3;12.00;51;Appartement
19371;75117;27;RUE;;SAUFFROY;1;12.00;12;Appartement
25523;84009;5373;;;LE CHAMBAUD;2;12.00;41;Appartement
33225;95394;3;RUE;;JEAN BRESTEL;2;12.00;59;Appartement
10714;45234;44;RUE;;DE PATAY;2;13.00;17;Appartement
12501;59350;42;RUE;;DE PUEBLA;1;13.00;12;Appartement
27206;91471;49;RUE;;DE LA CORNICHE;1;13.00;14;Appartement
29394;92073;81;RUE;;CARNOT;1;13.00;12;Appartement
29500;93001;171;RUE;;DES CITES;1;13.00;14;Appartement
487;05072;5139;;;CANARD;4;14.00;53;Appartement
5113;30037;6;RUE;;EMILE ZOLA;2;14.00;46;Appartement
18448;75115;13;RUE;;ROBERT LINDET;1;14.00;15;Appartement
18761;75115;10;IMP;;DE L EGLISE;1;14.00;10;Appartement
19908;75118;38;RUE;;LEPIC;1;14.00;15;Appartement
20410;75119;151;AV;;JEAN JAURES;1;14.00;23;Appartement
21799;77284;4;RUE;B;DE LA CRECHE;1;14.00;14;Appartement
395;04112;320;AV;;DU DCT BERNARD FOUSSIER;4;15.00;98;Appartement
10731;45234;22;PL;;DU VIEUX MARCHE;3;15.00;57;Appartement
12522;59350;67;RUE;B;COLBERT;1;15.00;14;Appartement
12586;59360;98;RUE;;JULES FERRY;1;15.00;15;Appartement
19046;75116;88;RUE;B;MICHEL ANGE;1;15.00;14;Appartement
9320;42071;6;BD;;DES ETINES;1;16.00;18;Appartement
10716;45234;4;RUE;;DES BOUTEILLES;1;16.00;16;Appartement
11833;54395;77;RUE;;SERGENT BLANDAN;1;16.00;16;Appartement
20174;75118;58;BD;;BARBES;3;16.00;80;Appartement
24300;83004;66;RUE;;DES FONCES;3;16.00;65;Appartement
26472;91099;3;RUE;;CHEVAL RUE;1;16.00;16;Appartement
11774;54395;134;RUE;;DE MON DESERT;1;17.00;23;Appartement
21800;77284;4;RUE;B;DE LA CRECHE;1;17.00;17;Appartement
25455;84007;3;RUE;;SAINT PIERRE;1;17.00;15;Appartement
26977;91339;86;RUE;;DE LA DIVISION LECLERC;1;17.00;20;Appartement
28180;92024;77;RUE;;MARTRE;1;17.00;17;Appartement
29502;93001;17;RUE;;DE LA NOUVELLE FRANCE;1;17.00;18;Appartement
29954;93048;59;RUE;;DE LA FRATERNITE;1;17.00;18;Appartement
317;04039;29;RUE;;NATIONALE;1;18.00;18;Appartement
4981;29019;34;RUE;;MONGE;1;18.00;18;Appartement
7019;34003;11;RUE;;DE LA GABELLE;1;18.00;23;Appartement
8387;38185;58;RUE;;FELIX ESCLANGON;1;18.00;18;Appartement
8449;38185;22;CHE;;JESUS;0;18.00;19;Appartement
9546;42218;47;RUE;;DESIRE CLAUDE;1;18.00;18;Appartement
10922;48092;3;PL;;DU SOUBEYRAN;1;18.00;18;Appartement
11291;50502;99;RUE;;DE TESSY;1;18.00;19;Appartement
12265;59009;10;RUE;;JOHN HADLEY;1;18.00;17;Appartement
12833;59606;320;BD;;HARPIGNIES;1;18.00;18;Appartement
14630;69381;35;RUE;;PAUL CHENAVARD;1;18.00;19;Appartement
15917;74311;74;CHE;;DES PLACES;1;18.00;19;Appartement
17908;75112;36;RUE;;ERARD;2;18.00;41;Appartement
21274;77058;1;RUE;;DES HALLES;1;18.00;17;Appartement
23519;78537;48;RUE;;BASSE;1;18.00;36;Appartement
24308;83009;124;RUE;;RICHELIEU;1;18.00;18;Appartement
25495;84007;5;IMP;;DE L EPI;1;18.00;18;Appartement
29579;93006;248;RUE;;DE NOISY LE SEC;1;18.00;20;Appartement
3582;14220;19;AV;B;DU GAL DE GAULLE;1;19.00;18;Appartement
4282;22282;16;;;PORT JACQUET;2;19.00;19;Appartement
